FID,BRG NO,STRUCTURE_,BRIDGE_NAM,DESCRIPTIO,DESCRIPT_1,DESCRIPT_2,FACI_TYPE_,OPER_STAT_,FEATUREREL,CURRENT_YN,BRDG_TYPE_,COMMENT_,Long,Lat
11,11703,0, ,STOCK UNDERPASS DRAIN,CULVERT ON SH16,34.17KM WEST CASINO,9,O,5/11/2015 0:00:00,Y,CCULV, ,152.757679999999993,-28.891539999799999
12,8705,7844,WOLLARDS CREEK,WOOLARDS CREEK,S/B  PPLNK BRIDGE,5.06 K N OF TAREE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.482509999999991,-31.937799999799999
13,10252,9460,<Null>,UNNAMED CREEK,3 CELL CULVERT,COOLONGOLOOK,4,O,5/11/2015 0:00:00,Y,CCULP, ,152.321250999999990,-32.244020000299997
14,10991,10115,<Null>,UNNAMED CREEK,4 CELL CULVERT,81.5K N OF LITHGOW,4,O,5/11/2015 0:00:00,Y,CCULP, ,149.806029999999993,-32.870539999599998
15,4574,6784,<Null>,UNNAMED CREEK,3 CELL CULVERT,6.25KM W EUGOWRA,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.295909999999992,-33.415300000400002
16,1018,6116,<Null>,SHEPHARDS CREEK,2 CELL CULVERT,S BATHURST,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.371369998999995,-33.751310000200000
17,4712,6903,<Null>,UNNAMED CREEK,3 CELL CULVERT,71.49KM N BOURKE,4,O,5/11/2015 0:00:00,Y,CCULV, ,145.826629999999994,-29.530519999799999
18,1518,5513,WALLIS BRIDGE,WALLAMBA RIVER,CBEAM BRIDGE,FORSTER / TUNCURRY,5,O,5/11/2015 0:00:00,Y,CBEAM, ,152.508110001000006,-32.179998000200001
19,10411,9622,<Null>,FAUNA CROSSING,CULVERT ON HW10,47.2KM NTH OF TAREE,4,O,5/11/2015 0:00:00,Y,CCULP, ,152.722678000000002,-31.640819000099999
20,4125,6355,<Null>,BELL RIVER,BRIDGE,55.46K N 0F ORANGE,5,O,5/11/2015 0:00:00,Y,PGIRD, ,148.891443000000010,-32.926054999800002
21,9323,8524,<Null>,STOCKYARD CREEK,CULVERT ON SH11,80.39KM W  WAUGHOPE,4,O,5/11/2015 0:00:00,Y,CCULP, ,152.124020000000002,-31.401999999699999
22,7733,5995,MARDI CREEK,MARDI CREEK,3/3.0/2.0 CCULV,85.7KM N OF SYDNEY,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.403402999999997,-33.301040999999998
23,2251,2234,IRVING BRIDGE,RICHMOND RIVER,BRIDGE ON SH16,0.39KM WEST CASINO,5,O,5/11/2015 0:00:00,Y,PGIRD, ,153.044639999999987,-28.868489999700000
24,4151,6378,<Null>,SANDY CREEK,BRIDGE NO1,5.82KM W DUBBO,5,O,5/11/2015 0:00:00,Y,PPLNK, ,148.549160000000001,-32.211650000200002
25,10257,9486,<Null>,UNNAMED CREEK,3/1.8X1.8 PIPE CUL,40.45K W DENMAN,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.434030000000007,-32.177719999600001
26,9052,8322,CENTENARY BR,SH5,PEDESTRIAN BR,FAULCONBRIDGE,5,O,5/11/2015 0:00:00,Y,PTROG, ,150.534668000000011,-33.696513999700002
27,11422,10444,<Null>,PRINCES HWY,PED BR AT OLIVER ST,HEATHCOTE,5,A,5/11/2015 0:00:00,Y,<Null>, ,151.007792999999992,-34.087494000000000
28,11120,10507,<Null>,AT SHEEPSTATION CREEK,PIPE CULVERT,<Null>,4,O,5/11/2015 0:00:00,Y,CPIPE, ,150.167100000000005,-35.666099999700002
29,4702,6893,<Null>,UNNAMED CREEK,10 CELL CULVERT,41.76KM N BOURKE,4,O,5/11/2015 0:00:00,Y,CCULV, ,145.970750000000010,-29.760110000200001
30,9042,8207,CHARLES PEEL BR,SOUTHERN RAILWAY,BR ON HORSLEY DR,CARRAMAR,5,O,5/11/2015 0:00:00,Y,PSUTG, ,150.967510000000004,-33.882729999799999
31,2681,2566,GLENREAGH BDG,ORARA RIVER,BRIDGE ON LOCAL RD,GLENREAGH,5,O,5/11/2015 0:00:00,Y,STRUS, ,152.980330000000009,-30.053849999800001
32,7792,5145,<Null>,COLLECTOR CREEK,S/B BRIDGE OVER, AT COLLECTOR,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.429975000000013,-34.921359000000002
33,5684,3727,<Null>,MUNDEROO CREEK,BRIDGE,25.8 N OF JINGELLIC,5,O,5/11/2015 0:00:00,Y,CBEAM, ,147.865250000000003,-35.838120000000004
34,4243,6468,<Null>,TALBRAGAR R O/FLOW,BRIDGE CHANNEL NO.1,7.8KM N DUBBO,5,O,5/11/2015 0:00:00,Y,SGIRD, ,148.621219999999994,-32.191200000199998
35,9158,8584,<Null>,BOOMI CREEK,BRIDGE,91.81KM N COOLIBAH,5,O,5/11/2015 0:00:00,Y,PBEAM, ,146.900329999999997,-30.324590000200001
36,6791,5869,<Null>,SANDY HOLLOW CREEK,2/3.36/1.50 CCULP,31.84 K W SINGLETON,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.062039999999996,-32.582090000000001
37,8094,745,<Null>,OVER WHITES CREEK,BR ON THE CRESCENT,AT ROZELLE (NEW BR),5,O,5/11/2015 0:00:00,Y,PPLNK, ,151.173210000000012,-33.871309999799998
38,1030,6128,CROSSLEY BRIDGE,TURON RIVER,CONCRETE BRIDGE,SOFALA,5,O,5/11/2015 0:00:00,Y,CBEAM, ,149.688109999999995,-33.080620000300001
39,4367,6583,<Null>,UNNAMED CREEK,4 CELL CULVERT,23.66KM NW MENDOORA,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.894970000000001,-31.821130000400000
40,552,5309,<Null>, BOOKER BAY RD,PGIRD BRIDGE, ORANGE GROVE,5,O,5/11/2015 0:00:00,Y,PGIRD, ,151.343178999999992,-33.509135999700000
41,2173,2169,19.14KM NTH BALLINA,EMIGRANT CREEK,CULVERT ON SH10,NEWRYBAR,4,O,5/11/2015 0:00:00,Y,CCULV, ,153.532780000000002,-28.732639999600000
42,3724,1602,<Null>,BAAN BAA CREEK,14 CELL CULVERT,19.3KM W BOGGABRI,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.954239999999999,-30.600110000200001
43,7816,677,<Null>,OVER VICTORIA ROAD,PEDESTRIAN BRIDGE,AT WHITE BAY,5,O,5/11/2015 0:00:00,Y,SBOXG, ,151.176109999999994,-33.868359999600003
44,9329,8530,4.10KM STH QUIRINDI,UNNAMED CREEK,CULVERT ON SH29,SPAINS BRAEFIELD RD,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.691859999999991,-31.551740000399999
45,7351,5916,DEEP CREEK,DEEP CREEK - NO1,PTROG  BRIDGE N/B,86.7KM N OF SYDNEY,5,O,5/11/2015 0:00:00,Y,PTROG, ,151.405959999999993,-33.290470000200003
46,2742,971,3.26KM W GLN INN,FURRACABAD CREEK,CULVERT ON SH12,NR GLEN INNES,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.707249999999988,-29.731260000199999
47,7639,653,<Null>,BLACKTOWN CR,CULVERT ON MR 644,BLACKTOWN,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.920349001000005,-33.779550999599998
48,8728,7876,<Null>,UNNAMED CK,3/1.82/0.48 CCULP,12.61K W MUSW'BROOK,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.782646999999997,-32.322572000100003
49,360,302,LENNOX BRIDGE,OV PARRAMATTA RIVER,BRIDGE ON CHURCH ST,AT PARRAMATTA,5,O,5/11/2015 0:00:00,Y,MARCH, ,151.004459999999995,-33.810830000099998
50,11424,10447,<Null>,UNANMED CK,PIPE CULV ON GWY,BLACKTOWN,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.860942999999992,-33.790044000400002
51,1750,5696,WINDING CREEK,WINDING CK,PUNIT  BRIDGE,4.24K N WARNERS BAY,5,O,5/11/2015 0:00:00,Y,PUNIT, ,151.657999999999987,-32.940999999900001
52,6110,4749,<Null>,NELLIGEN CREEK,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,SGIRD, ,150.094330000000014,-35.641590000000001
53,8235,4295,<Null>,UNNAMED CREEK,PIPE CULVERT,36.9 KM S TARCUTTA,4,O,5/11/2015 0:00:00,Y,CPIPE, ,147.549462000000005,-35.527573000200000
54,9313,8514,1.15KM NTH MR76,UNNAMED CREEK,CULVERT ON SH09,ARMIDALE BY-PASS,4,O,5/11/2015 0:00:00,Y,CCULP, ,151.628760000000000,-30.517979999800001
55,9304,8502,2.78KM STH COFFS,UNNAMED CREEK,CULVERT ON SH10,NEAR COOK DRIVE,4,O,5/11/2015 0:00:00,Y,CCULP, ,153.101123000000001,-30.307324000099999
56,289,7524,<Null>,OVER UNNAMED CREEK,CULVERT,AT CHULLORA,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.058220000000006,-33.891020000399998
57,10626,9747,<Null>,UNNAMED CREEK,CULVERT,<Null>,4,O,5/11/2015 0:00:00,Y,CCULP, ,148.678529999999995,-34.219300000300002
58,7845,7375,<Null>,LAWSON'S CREEK,BRIDGE,24.04KM W LITHGOW,5,O,5/11/2015 0:00:00,Y,PGIRD, ,149.944989999999990,-33.442489999999999
59,8026,715,<Null>,M4  WESTERN FREEWAY,PED BR AT BERESFORD,GREYSTANES,5,O,5/11/2015 0:00:00,Y,PBFGI, ,150.942029999999988,-33.811660000099998
60,302,257,<Null>,BONDS CK,CULV ON SR 620,LEPPINGTON,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.820840000000004,-33.961359999800003
61,4974,7140,<Null>,MATAKANA SN813,LEVEL CROSSING AT,<Null>,6,O,5/11/2015 0:00:00,Y,<Null>, ,145.900812000000002,-32.990211000400002
62,8418,2658,RAMP BRIDGE,OVER SH10,SB OFFLOAD RAMP,AT BANGALOW,5,O,5/11/2015 0:00:00,Y,SBOXG, ,153.525599999999997,-28.676599999600001
63,515,412,<Null>,OV KEMPS CREEK,BR ON ELIZABETH DR,AT KEMPS CREEK,5,O,5/11/2015 0:00:00,Y,CSLAB, ,150.798789999999997,-33.880810000200000
64,8482,7667,<Null>,UNDER SH2 67.4KM,PEDESTRIAN U/PASS,AT SHELDRICKS LANE,4,O,5/11/2015 0:00:00,Y,SPIPE, ,149.048268000000007,-34.829116999900002
65,10249,9457,MELLONG CREEK,MELLONG CREEK,3/1.8 PIPE CULVERT,PUTTY ROAD,4,O,5/11/2015 0:00:00,Y,CPIPE, ,150.691059999999993,-33.055709999599998
66,2321,2293,<Null>,BOUNDARY CREEK,CULVERT ON SR76,33.70KM W DORRIGO,4,O,5/11/2015 0:00:00,Y,CCULV, ,152.435519999999997,-30.352989999900000
67,6753,572,<Null>,AT FLETCHER ST,BR OV SH5,GLENBROOK,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.613756999999993,-33.761248999599999
68,9298,8491, ,UNNAMED CREEK,PIPE CULVERT SH10,NEAR FIDDAMANS RD.,4,O,5/11/2015 0:00:00,Y,CPIPE, ,153.176549279000000,-30.169312457899998
69,8442,7406,<Null>,NO.3 ON SH7,FLOOD RELIEF BRIDGE,161.9KM W DUBBO,5,O,5/11/2015 0:00:00,Y,PPLNK, ,147.213490000000007,-31.571069999999999
70,10186,9255,<Null>,OLD WINDSOR RD,PED BR NTH OF M7,BELLA VISTA,5,O,5/11/2015 0:00:00,Y,STRUS, ,150.951179999999994,-33.750610000099996
71,8543,7508,<Null>,BREAKFAST CREEK,BRIDGE,41KM N OF BOOROWA,5,O,5/11/2015 0:00:00,Y,PPLNK, ,148.742365000000007,-34.103601999699997
72,8270,777,<Null>,OV SH13 AT STATION,PEDESTRIAN BRIDGE,"ST, THORNLEIGH",5,O,5/11/2015 0:00:00,Y,CSLAB, ,151.079337000000010,-33.732007999899999
73,34,29,<Null>,UNDER RAILWAY LINE,PEDESTRIAN SUBWAY,AT ENGADINE STATION,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.014800000000008,-34.067360000299999
74,8209,5250,<Null>,FLOOD CHANNEL,HALFWAY CREEK,50.9 KM W BRAIDWOOD,4,O,5/11/2015 0:00:00,Y,CCULP, ,149.427500000000009,-35.272940000100000
75,5136,7239,<Null>,UNNAMED CREEK,CULVERT,10.7 KM N WENTWORTH,4,O,5/11/2015 0:00:00,Y,CCULV, ,141.838480000999994,-34.042409999800000
76,5098,7214,<Null>,MARACHI CREEK,9 CELL CULVERT,152.5KM W WILCANNIA,4,O,5/11/2015 0:00:00,Y,CCULV, ,141.884449999999987,-31.859370000199998
77,8567,7706,( HPE 1 - 5 ),PYRMONT ST,RAMP FROM HARRIS ST,DARLING HARBOUR,5,O,5/11/2015 0:00:00,Y,SBOXG, ,151.198599999999999,-33.874080000299998
78,5591,3642,<Null>,L CARGELLIGO-COOTA,LEVEL CROSSING,TEMORA SN271,6,O,5/11/2015 0:00:00,Y,<Null>, ,147.535489998999992,-34.454300000099998
79,8393,817,<Null>,OV 6005 (M5),BR ON KURRAJONG RD,CASULA,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.895979000000011,-33.946246000199999
80,8252,760,<Null>,OV MENAI RD NEAR,PED BRIDGE,AKUNA AV AT BANGOR,5,O,5/11/2015 0:00:00,Y,STRUS, ,151.035773000000006,-34.021623999699997
81,4285,6504,IRON BRIDGE,LACHLAN RIVER,BRIDGE,"COWRA ROAD, FORBES",5,O,5/11/2015 0:00:00,Y,STRUS, ,148.020309999999995,-33.402249999799999
82,7213,5892,<Null>,BULGA CK-MILBRODALE,PPLNK BRIDGE,145.8K N OF WINDSOR,5,O,5/11/2015 0:00:00,Y,PPLNK, ,150.998707001000014,-32.694731999500000
83,2285,2261,14.49KM STH GRAFTON,ORARA RIVER,BRIDGE ON RR74,COUTTS CROSSING,5,O,5/11/2015 0:00:00,Y,STRUS, ,152.891739999999999,-29.823119999599999
84,5482,3541,<Null>,UNNAMED CREEK,CULVERT,16.3 N WEST WYALONG,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.358260000000001,-33.873119999600000
85,10559,9680,<Null>,UNNAMED CREEK,CULVERT,N1-210,4,O,5/11/2015 0:00:00,Y,CSLBP, ,147.761539999999997,-35.249399999700003
86,9074,8242,AKA STONEY CREEK,PARTRIDGE CREEK,BRIDGE ON SH11,12.86KM W PORT MACQ,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.802400000000006,-31.467689999899999
87,6416,3998,<Null>,UNNAMED CREEK,CULVERT,37.6 N OF YOUNG,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.521099999999990,-34.082530000100000
88,11647,10783,<Null>,LIGNUM CREEK,BRIDGE,5KM EAST OF MARSDEN,5,A,5/11/2015 0:00:00,Y,<Null>, ,147.552830000000000,-33.756399999800003
89,674,4399,<Null>,UNNAMED CREEK,CULVERT OVER,AT NTH WOLLONGONG,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.891840000000002,-34.409939999700001
90,7732,5994,KANGY ANGY CREEK,KANGY ANGY CREEK,3 CELL  CULVERT,83.3KM N OF SYDNEY,4,O,5/11/2015 0:00:00,Y,CCULV, ,151.394059999999996,-33.319250000300002
91,8088,5191,<Null>,MILLINGANDI CREEK,BRIDGE OVER,AT MERIMBULA,5,O,5/11/2015 0:00:00,Y,PPLNK, ,149.871700000000004,-36.880650000300001
92,7419,1944,19.73KM WEST GUNN,UNNAMED CREEK,CULVERT ON SH11,NEAR MULLALEY,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.064699999999988,-31.022639999700001
93,7554,5123,<Null>,FLAGGY CREEK 10.7KM,BRIDGE OVER,WEST OF CAMDEN,5,O,5/11/2015 0:00:00,Y,PGIRD, ,150.599799999999988,-34.060700000099999
94,10060,9133,43.2KM N BALLINA,WETLAND,BRIDGE #1 N/B SH10,BRUNSWICK BYPASS,5,O,5/11/2015 0:00:00,Y,PSUTG, ,153.534513000000004,-28.546194000000000
95,3088,1266,(COSTS 50/50 DOT),BARWON RIVER,BORDER BRIDGE,<Null>,5,X,5/11/2015 0:00:00,Y,XTRUS, ,148.984919999999988,-28.976259999800000
96,11654,10790,<Null>,UNNAMED CREEK,PIPE CULVERT ON SH10,17.28KM NTH COFFS HARBOUR,4,O,5/11/2015 0:00:00,Y,CPIPE, ,153.174910000000011,-30.170390000000001
97,520,417,<Null>,COSGROVE CK,CULV ON ELIZABETH D,LUDDENHAM,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.717530000000011,-33.868749999899997
98,7616,2617,<Null>,UNNAMED CREEK,WIDENED CULVERT ON SH10,STH. DIAMOND HD BRG,4,O,5/11/2015 0:00:00,Y,CCULV, ,153.192433999999992,-30.151182000300000
99,8115,5206,BRIDGE A,BRIDGE OVER SH2,E/B ROUND-ABOUT,WEST OF GOULBURN,5,O,5/11/2015 0:00:00,Y,PVSLB, ,149.688002000000012,-34.776221000400000
100,999,6099,<Null>,BOYD CREEK,BRIDGE,3.6KM E BATHURST,5,O,5/11/2015 0:00:00,Y,CBEAM, ,149.617490000000004,-33.419439999700003
101,7301,1913,<Null>,SNAKE CREEK,BRIDGE ON SH16,SANDY HILL,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.183940000000007,-28.968999999699999
102,5075,7191,<Null>,UNNAMED CREEK,6 CELL CULVERT,76.85KM W WILCANNIA,4,O,5/11/2015 0:00:00,Y,CCULV, ,142.659790001000005,-31.727549999699999
103,5681,3724,<Null>,MURRAY RIVER,BRIDGE,AT JINGELLIC,5,O,5/11/2015 0:00:00,Y,STRUS, ,147.701840000000004,-35.931980000400003
104,8145,5220,<Null>,OVER MR283,S/B BRIDGE,44.6K S OF GOULBURN,5,O,5/11/2015 0:00:00,Y,PGIRD, ,149.272739999999999,-34.794789999800003
105,8454,8073,AT DUMARESQ ISLAND,SOUTH FLOOD CHANNEL,N/B PPLNK BRIDGE,9.48 K N OF TAREE,5,O,5/11/2015 0:00:00,Y,PPLNK, ,152.514049999999997,-31.910709999800002
106,6069,4716,<Null>,PICKERINGS CREEK,CULVERT OVER,<Null>,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.265512000000001,-36.772719000099997
107,6040,4691,<Null>,UNNAMED CREEK,CULVERT OVER,<Null>,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.967710000000011,-36.222609999699998
108,4580,6790,<Null>, FORBES SN663,LEVEL CROSSING NEAR,<Null>,6,O,5/11/2015 0:00:00,Y,<Null>, ,148.017650000000003,-33.390299999600003
109,4147,6374,<Null>, E OF DUBBO SN93,LEVEL CROSSING 1.6K,<Null>,6,O,5/11/2015 0:00:00,Y,<Null>, ,148.621150000000000,-32.256079999699999
110,11083,10601,<Null>,1.1KM NTH OF YASS RIVER,CULVERT UNDER HW3,BRIDGE NEAR SUTTON,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.288203000000010,-35.176034000400001
111,11215,10234,<Null>,UNNAMED CK,CATTLE U/PASS SR65,7.9K WEST BANGALOW,4,O,5/11/2015 0:00:00,Y,SPIPE, ,153.470519999999993,-28.717110000100000
112,10450,9662,<Null>,MYALL RIVER,NB PSUTG BRIDGE,95.4KM N NEWCASTLE,5,O,5/11/2015 0:00:00,Y,PSUTG, ,152.209930000000014,-32.422379999699999
113,2763,988,<Null>,UNNAMED CREEK,CULVERT ON SH12,12.50KM W WARIALDA,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.464799999999997,-29.585909999799998
114,739,4453,<Null>,HAPGOOD CREEK,BRIDGE OVER,AT 97.2K S OF NOWRA,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.303120000000007,-35.534870000200002
115,1304,6282,BERYL BRIDGE,WIALDRA CREEK,TIMBER TRUSS BRIDGE,NR GULGONG,5,O,5/11/2015 0:00:00,Y,TTRUS, ,149.443941999999993,-32.349279999799997
116,53,45,<Null>,OVER MANLY CREEK,BR ON CONDAMINE ST,AT MANLY VALE,5,O,5/11/2015 0:00:00,Y,CSLAB, ,151.267099999999999,-33.778210000000001
117,10079,9152,50.72KM N BALLINA,UNDER SH10,FAUNA UNDERPASS,BILLINUDGEL,4,O,5/11/2015 0:00:00,Y,CCULP, ,153.515983000000006,-28.488253999699999
118,1076,6169,BLACKS BRIDGE,LAMBING YD CREEK,BRIDGE,17.52KM N GULGONG,5,O,5/11/2015 0:00:00,Y,PUNIT, ,149.436139999999995,-32.245139999700001
119,8732,7879,<Null>,BLACK SPRING CREEK,CULVERT OVER,<Null>,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.313592999999997,-34.483460000000001
120,3696,1577,<Null>,UNNAMED CREEK,CULVERT ON SH29,NEAR BREEZA,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.288990000000013,-31.141579999800001
121,7717,5983,JIGADEE CK,JIGADEE CREEK,PGIRD  BRIDGE N/B,115.6KM N OF SYDNEY,5,O,5/11/2015 0:00:00,Y,PGIRD, ,151.477758999999992,-33.060051000000001
122,711,4430,<Null>,ABERNETHYS CREEK,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,CBEAM, ,150.599439999999987,-34.827909999900001
123,1110,865,<Null>,UNNAMED CREEK,3 CELL CULVERT,38.9KM E DUNEDOO,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.753690000000006,-32.050349999600002
124,7915,7716,<Null>,ENW FROM MARKET ST,ON RAMP (MP),DARLING HARBOUR,5,O,5/11/2015 0:00:00,Y,PVSLB, ,151.203563000999992,-33.871004000200003
125,8385,809,<Null>,OV 6005 (M5),BR ON BEACONFIELD R,REVESBY,5,O,5/11/2015 0:00:00,Y,PGIRD, ,151.000810000000001,-33.942591000299998
126,9188,8345,CARRIAGEWAY SUPPORT,D HBOUR GOODS RAIL,E/B BR ON MR650,LILYFIELD,5,O,5/11/2015 0:00:00,Y,CSLAB, ,151.165808999999996,-33.874060999900003
127,5468,3527,<Null>,SHELLEYS CREEK,BRIDGE,9.3 KM S OF TUMUT,5,O,5/11/2015 0:00:00,Y,PUNIT, ,148.275219999999990,-35.365800000199997
128,10665,9786,<Null>,UNNAMED CK,3/1.8 X 1.5 CCUP,FORSTER,4,O,5/11/2015 0:00:00,Y,CCULV, ,152.516102999999987,-32.185363999700002
129,5622,3672,<Null>,WANDALYBINGLE CK,4 CELL CULVERT,30.6 N OF JUNEE,4,O,5/11/2015 0:00:00,Y,CCULV, ,147.866700000000009,-34.762900000199998
130,7958,5176,<Null>,OV OLD HUME HIGHWAY,S/B BRIDGE ON SH2,AT CUTAWAY HILL,5,O,5/11/2015 0:00:00,Y,PTROG, ,150.387234000000007,-34.446201000400002
131,10110,9185,APPROACH BRIDGE 1,MURRAY RIVER,APPROACH BRIDGE,ROBINVALE,5,O,5/11/2015 0:00:00,Y,PSUTG, ,142.764933000000013,-34.571714000299998
132,10391,9602,<Null>,YARRA YARRA CK N/B,BRIDGE,<Null>,5,O,5/11/2015 0:00:00,Y,PPLNK, ,147.430599999999998,-35.662950000099997
133,3445,1345,51.6KM NTH TAM,OVER ROCKY GULLY,BRIDGE ON SH09,NR BENDEMEER,5,O,5/11/2015 0:00:00,Y,CBEAM, ,151.224158999999986,-30.820779000200002
134,9328,8529,0.8KM STH TAM,UNNAMED CREEK,CULVERT ON SH09,NEAR LOCKS LANE,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.927060000000012,-31.110689999700000
135,10357,9568,<Null>,UNNAMED CREEK,6/1.21X0.62 CULVERT,COOLMORE,4,O,5/11/2015 0:00:00,Y,CCULP, ,150.846866000000006,-32.451916999700003
136,2885,1091,<Null>,UNNAMED CREEK,3 CELL CULVERT,41.18KM S MOREE,4,O,5/11/2015 0:00:00,Y,CCULV, ,149.787309999999991,-29.810969999899999
137,8352,788,<Null>,HILL RD U/N PENNANT,U/PASS ON CASTLE,"HILLS RD, BEECROFT",8,O,5/11/2015 0:00:00,Y,CCULP, ,151.049504000000013,-33.747742000000002
138,413,346,<Null>,OV MACDONALD RIVER,ST.ALBANS BRIDGE,AT ST. ALBANS,5,O,5/11/2015 0:00:00,Y,XTRUS, ,150.972530000000006,-33.293379999899997
139,9806,9309,<Null>,RMP M5 WB TO M7 NB,M7 SB TO M5 SB &CVW,"PRESTON, UBD 268C16",5,O,5/11/2015 0:00:00,Y,PILBG, ,150.878114000000011,-33.949886999599997
140,5974,4630,<Null>,CORUNNA LAKE,BRIDGE OVER,<Null>,5,O,5/11/2015 0:00:00,Y,PUNIT, ,150.124380000000002,-36.284109999700000
141,7297,4166,<Null>,(BUCKLEPLATE NO.4),UNNAMED CK,3 KM E OF ALBURY,4,O,5/11/2015 0:00:00,Y,CCULV, ,146.950400000000002,-36.074970000000000
142,7658,5958,PEATS RIG RD CALGA, PEATS RIDGE RD,SBOXG  BRIDGE N/B,60 KM N OF SYDNEY,5,O,5/11/2015 0:00:00,Y,SBOXG, ,151.226769999999988,-33.427219999800002
143,3651,1536,23.90KM NTH TAM,UNNAMED CREEK,CULVERT ON SR63,NEAR ATTUNGA,4,O,5/11/2015 0:00:00,Y,CCULV, ,150.834260000000000,-30.910490000399999
144,6192,4824,<Null>,UNNAMED CREEK,CULVERT OVER,<Null>,4,O,5/11/2015 0:00:00,Y,CCULV, ,148.853080000000006,-36.355190000299999
145,315,270,<Null>,SN59,RLY LEVEL CROSSING,AT CLYDE,6,O,5/11/2015 0:00:00,Y,<Null>, ,151.016490000000005,-33.832510000399999
146,9458,8644,<Null>,RIDGEY CREEK,8 CELL CULVERT,12.57KM W PARKES,4,O,5/11/2015 0:00:00,Y,CPIPE, ,148.069610000000011,-33.099579999800000
